name
Accrobranche
Acrosport
Aérobic
Aéromodélisme
Aérostation
Agility
Aïkido
Airsoft
Alpinisme
Apnée
Aquabiking
Aquajogging
Aquarunning
Aquathlon
Aquatriathlon
Arts martiaux artistiques
Athlétisme
Aviation
Aviron
Babyfoot
Badminton
Ballet sur glace
Ball trap
Baton défense
Base jump
Baseball
Basket-ball
Bateau-Dragon
Beach soccer
Beach volley
Bébé nageur
Biathlon
Billard
Bloc (escalade)
BMX
Bobsleigh
Boccia
Bodyboard
Boogie Woogie
Boomerang
Boule lyonnaise
Bowling
Boxe américaine
Boxe birmane
Boxe chinoise
Boxe française
Boxe thaïlandaise
Bras de fer
Bridge
Canoë
Canne de combat
Canne défense
Canoë-kayak
Canyonisme
Canyoning
Capoeira
Carrom
Catch
Cerf volant
Cerf volant de combat
Chanbara
Char à voile
Cheerleading
Cirque
Claquettes
Close combat
Coasteering
Combat libre
Combat médiéval
Compétition automobile
Course à pied
Course d'orientation
Cricket
Croquet
Crosse
Crossfit
Culturisme
Curling
Cyclisme sur piste
Cyclisme sur route
Cyclo-cross
Cyclotourisme
Danse africaine
Danse classique
Danse contemporaine
Danse country
Danse espagnole
Danse indienne
Danse jazz
Danse modern jazz
Danse sur glace
Danse caraïbes
Danse de salon
Danse latines
Danse swing
Disc golf
Dozen
Danse sportive
Danse orientale
Dames
Décathlon
Deltaplane
Duathlon
Double Dutch
Drift
Échecs
Équitation
Escalade
Escrime
Esports
Eveil corporel
Folkrace
Fitness
Flag
Fléchettes
Flying disc
Floorball
Football
Football américain
Football australien
Football gaélique
Footing
Force athlétique
Funboard
Futsal
Glisse
Giraviation
Golf
Gouren
Grappling
Gymnastique artistique
Gymnastique douce
Gymnastique rythmique
Haka pei
Hakko-Ryu
Haltérophilie
Handball
Handisport
Hip hop
Hockey
Hockey sur gazon
Hockey sur glace
Hockey subaquatique
Horse-ball
Hurling
Hapkido
Iaïdo
Jeu de paume
Ju-Jitsu traditionnel
Jeet kune do
Jodo
Jorkyball
Joutes nautiques
Judo
Javelot tir sur cible
Jiu-jitsu brésilien
Kaninhop
Karaté
Kayak
Kempo
Kendo
Kenjutsu
Kick-boxing américain
Kick-boxing japonais
Kitesurfing
Karting
Kendo
Kempo
Kin-ball
Kobudo
Kung fu
Krav maga
Kyudo
Kali escrima
Lancer de disque
Lancer de javelot
Lancer de marteau
Lancer de poids
Lacrosse
Luge
Luta livre
Luge de course
Lutte traditionnelle
Lutte contact
Lutte gréco-romaine
Lutte libre
Moto vitesse
Moto endurance
Moto cross
Moto trial
Moto enduro
Motoneige
Musculation
Marathon
Mixed martial art
Marche Sportive
Marche Nordique
Marche Massaï
Modélisme
Moutainboard
Naban
Natation
Natation synchronisée
Nage en eau vive
Nage avec palmes
Naginata
Ninjitsu
Nautisme
Netball
Nunchaku
Omnikin
Paddle
Padel
Paintball
Pancrace
Parachutisme
Paramoteur
Parapente
Parkour
Patinage
Patinage artistique
Patinage de vitesse
Patinage synchronisé
Pêche sportive
Pêche sous-marine
Pelote basque
Penchak Silat
Pentathlon moderne
Pétanque
Peteca
Pickleball
Pilates
Ping-Pong
Planche à voile
Planeur 
Plongée en apnée
Plongée
Plongeon
Plumfoot
Polo
Qi gong
Quad
Quidditch
Quilles
Qwan Ki Do
Rafting
Ragga
Raid nature
Rallye automobile
Randonnée équestre
Randonnée pédestre
Raquette à neige
Régate
Ringuette
Rink hockey
Roller
Roller in line hockey
Rock
Rock acrobatique
Rugby à sept
Rugby à XIII
Rugby à XV
Roller derby
Sambo
Samba
Sarbacana
Sarbacane
Salsa
Savate (boxe française)
Saut à la perche
Saut à ski
Saut en hauteur
Saut en longueur
Sauvetage sportif
Self défense
Self pro krav
Shinty
Short track
Skateboard
Skater hockey
Skeleton
Ski
Ski alpin
Ski de fond
Ski nordique
Ski nautique
Ski de randonnée
Ski de vitesse
Ski Telemark
Slamball
Snowboard
Snowscoot
Softball
Spéléologie
Squash
Step
Sumo
Supermotard
Surf
Taekwondo
Tae Bo
Tai-chi-chuan
Taï jitsu
Taihojutsu
Tambourin
Tau'a rapa nui
Tchoukball
Tennis
Tennis de table
Tennis léger (Pickleball)
Thaing Bando
Twirling
Tennis de table
Tir
Tir à l'arc
Tir subaquatique
Triathlon
Triple saut
Tango argentin
Traîneaux à chiens
Trampoline
Trampoline indoor
Tricking
Taïso
Trottinette freestyle
Tumbling
Twirling bâton
ULM
Ultimate frisbee
Unihockey (Floorball)
Varappe
Voile
Volata
Vol à voile
Volley-ball
Voltige en cercle
VTT
Wakeboard
Water-polo
Wing chun
Waveboard
Yoga
Yoseikan Budo
Yoseikan Bajutsu
Zen Hakko Kaï
Zumba
